shape,rate,shift,llh.missing,llh.all
8.4375,0.96875,7.375,-206.829285838602,-206.829285838602
7.8125,0.90625,7.625,-205.665269276053,-205.665269276053
7.8125,0.90625,7.875,-205.351298859211,-205.351298859211
7.8125,0.96875,7.625,-205.516655726232,-205.516655726232
7.8125,0.96875,7.875,-205.784023341695,-205.784023341695
8.4375,0.90625,7.625,-207.682765870651,-207.682765870651
8.4375,0.90625,7.875,-206.54815948505,-206.54815948505
8.4375,0.96875,7.625,-205.936483762888,-205.936483762888
8.4375,0.96875,7.875,-205.427570056755,-205.427570056755
9.0625,0.96875,7.625,-208.212229062098,-208.212229062098
9.0625,0.96875,7.875,-206.897635075502,-206.897635075502
5.3125,0.53125,8.125,-208.260831911166,-208.260831911166
5.3125,0.53125,8.375,-207.879458999958,-207.879458999958
5.3125,0.59375,8.125,-206.556506493491,-206.556506493491
5.3125,0.59375,8.375,-206.917100190402,-206.917100190402
5.9375,0.59375,8.125,-207.867806831153,-207.867806831153
5.9375,0.59375,8.375,-207.334314691374,-207.334314691374
5.3125,0.53125,8.625,-207.729705021752,-207.729705021752
5.3125,0.53125,8.875,-207.798279924699,-207.798279924699
5.3125,0.59375,8.625,-207.504865607899,-207.504865607899
5.3125,0.59375,8.875,-208.306318158101,-208.306318158101
5.9375,0.59375,8.625,-207.053702789901,-207.053702789901
5.9375,0.59375,8.875,-207.011475165203,-207.011475165203
5.3125,0.65625,8.125,-207.516692551517,-207.516692551517
5.9375,0.65625,8.125,-206.057063449484,-206.057063449484
5.9375,0.65625,8.375,-206.247229076118,-206.247229076118
5.9375,0.71875,8.125,-206.619081117245,-206.619081117245
5.9375,0.71875,8.375,-207.465324484712,-207.465324484712
5.9375,0.65625,8.625,-206.684943322667,-206.684943322667
5.9375,0.65625,8.875,-207.355502221838,-207.355502221838
6.5625,0.65625,8.125,-207.678803864376,-207.678803864376
6.5625,0.65625,8.375,-206.999862397596,-206.999862397596
6.5625,0.71875,8.125,-205.775648763545,-205.775648763545
6.5625,0.71875,8.375,-205.803324524385,-205.803324524385
7.1875,0.71875,8.125,-207.643852189966,-207.643852189966
7.1875,0.71875,8.375,-206.824818861083,-206.824818861083
6.5625,0.65625,8.625,-206.594212708321,-206.594212708321
6.5625,0.65625,8.875,-206.446168221266,-206.446168221266
